Connector Type,कनेक्टर प्रकार
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","यदि आप नए रिकॉर्ड अपलोड कर रहे हैं, तो &quot;नामकरण श्रृंखला&quot; अनिवार्य हो जाती है, यदि मौजूद हो।"
Edit Properties,गुण संपादित करें
Cannot open instance when its {0} is open,उसका {0} खुला होने पर खुला उदाहरण नहीं दिया जा सकता
Timeline Name,समय का नाम
Workflow,कार्यप्रवाह
Please set Base URL in Social Login Key for Frappe,कृपया Frappe के लिए सामाजिक लॉगिन कुंजी में आधार URL सेट करें
Custom Menu Items,कस्टम मेनू आइटम
Length of {0} should be between 1 and 1000,{0} की लंबाई 1 से 1000 के बीच होनी चाहिए
Connection lost. Some features might not work.,संपर्क टूट गया। कुछ सुविधाएँ काम नहीं कर सकती हैं।
LDAP is not enabled.,LDAP सक्षम नहीं है।
Every Year,हर साल
Feedback Submitted,प्रतिक्रिया प्रस्तुत की
Allow Comments,टिप्पणियों की अनुमति दें
Show Title,शीर्षक दिखाओ
Not Saved,सहेजा नहीं गया
Can Write,लिख सकता
Main Section,मुख्य अनुभाग
Enabled email inbox for user {0},उपयोगकर्ता के लिए सक्षम ईमेल इनबॉक्स {0}
Current Mapping Delete Start,करंट मैपिंग डिलीट स्टार्ट
Client side script extensions in Javascript,जावास्क्रिप्ट में क्लाइंट साइड स्क्रिप्ट एक्सटेंशन
Reference Report,संदर्भ रिपोर्ट
Could not find {0},{0} नहीं मिल सका
Start,शुरु
Missing Fields,गुम फ़ील्ड
File Backup,फ़ाइल बैकअप
Is Attachments Folder,अनुलग्नक फ़ोल्डर है
Download Your Data,अपना डेटा डाउनलोड करें
Permissions get applied on Users based on what Roles they are assigned.,अनुमतियाँ उन उपयोगकर्ताओं पर लागू होती हैं जो उन्हें असाइन किए गए रोल्स पर आधारित होते हैं।
"Default: ""Contact Us""",डिफ़ॉल्ट: &quot;हमसे संपर्क करें&quot;
