Connector Type,コネクタの種類
Sending,送信
Google GSuite is not configured.,Google GSuiteが設定されていません。
Dropbox access is approved!,Dropboxへのアクセスが承認されました。
Call,コール
Day,日
Shop,ショップ
Under Development,開発中で
Please enter Authorize URL,認証URLを入力してください
Send Notification to,に通知を送信
Dropbox backup settings,Dropboxのバックアップ設定
Remove all customizations?,すべてのカスタマイズを削除しますか？
Only Administrator can edit,管理者のみが編集できます
Reference Document,参考資料
Liked,気に入った
This is a background report. Please set the appropriate filters and then generate a new one.,これはバックグラウンドレポートです。適切なフィルタを設定してから、新しいフィルタを生成してください。
Viewed By,閲覧者
Please select another payment method. PayPal does not support transactions in currency '{0}',別の支払い方法を選択してください。 PayPalは通貨 &#39;{0}&#39;の取引をサポートしていません
Document can't saved.,文書を保存できません。
Did not cancel,キャンセルしませんでした
"Must be of type ""Attach Image""",「画像の添付」タイプでなければなりません
Send Password Update Notification,パスワード更新通知を送信する
XLSX,XLSX
Select a DocType to make a new format,新しいフォーマットを作成するには、DocTypeを選択してください
Deleted Document,削除された文書
Please select a file or url,ファイルまたはURLを選択してください
Length,長さ
JSON,JSON
Helvetica,Helvetica
Select Table Columns for {0},{0}のテーブル列を選択してください
Tag Category,タグカテゴリ
A new account has been created for you at {0},新しいアカウントが{0}に作成されました
Roles can be set for users from their User page.,ユーザーのユーザーページからロールを設定できます。
Include Search in Top Bar,トップバーに検索を含める
[Urgent] Error while creating recurring %s for %s,[緊急]％sに繰り返し％sを作成中にエラーが発生しました
Author,著者
on_cancel,on_cancel
No document found for given filters,指定されたフィルタについての文書は見つかりませんでした
Users and Permissions,ユーザーと権限
Roles,役割
Attachments,添付ファイル
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.",キャンセル後に文書を修正して保存すると、古い番号のバージョンである新しい番号が取得されます。
Manage Third Party Apps,サードパーティのアプリを管理する
No records tagged.,タグ付けされたレコードはありません。
User Emails,ユーザーメール
Website Theme Image Link,ウェブサイトのテーマ画像リンク
Hide Weekends,週末を隠す
Criticism,批判
Download with Data,データダウンロード
Add meta tags to your web pages,Webページにメタタグを追加する
john@doe.com,john@doe.com
Days Before,前の日数
Notify by Email,メールで通知
Response Type,応答タイプ
resize-horizontal,水平方向のサイズ変更
App {0} already installed,アプリ{0}は既にインストールされています
Time Zone,タイムゾーン
Fill Screen,画面いっぱい
County,郡
First Transaction,最初の取引
Click to Set Filters,クリックしてフィルタを設定する
Background Style,背景スタイル
Collapsible,折りたたみ
PDF generation failed because of broken image links,画像リンクが壊れているためPDFの生成に失敗しました
Migration ID Field,移行IDフィールド
Not a valid LDAP user,有効なLDAPユーザーではありません
Create a new record,新しいレコードを作成する
"{0}, Row {1}",{0}、行{1}
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",新しいレコードをアップロードしている場合、 &quot;Naming Series&quot;があれば必須になります。
Edit Properties,プロパティを編集する
Cannot open instance when its {0} is open,{0}が開いているときにインスタンスを開くことができません
Timeline Name,タイムライン名
Workflow,ワークフロー
Please set Base URL in Social Login Key for Frappe,FrappeのソーシャルログインキーにベースURLを設定してください
Custom Menu Items,カスタムメニュー項目
Length of {0} should be between 1 and 1000,{0}の長さは1から1000の間でなければなりません
Connection lost. Some features might not work.,接続切断。一部の機能は機能しない可能性があります。
LDAP is not enabled.,LDAPが有効になっていません。
Every Year,毎年
Feedback Submitted,フィードバック送信
Allow Comments,コメントを許可します
Show Title,タイトルを表示
Not Saved,未保存
Can Write,書ける
Main Section,メインセクション
Enabled email inbox for user {0},ユーザー{0}の有効な電子メールの受信トレイ
Current Mapping Delete Start,現在のマッピング削除開始
Client side script extensions in Javascript,Javascriptのクライアント側スクリプト拡張
Reference Report,レファレンスレポート
Could not find {0},{0}が見つかりませんでした
Start,開始
Missing Fields,欠けているフィールド
File Backup,ファイルバックアップ
Is Attachments Folder,添付ファイルフォルダ
