Connector Type,Type de connecteur
"If you are uploading new records, leave the ""name"" (ID) column blank.","Si vous téléchargez de nouveaux enregistrements, laissez la colonne &quot;nom&quot; (ID) vide."
Events in Today's Calendar,Événements du calendrier d&#39;aujourd&#39;hui
GCalendar is not configured.,GCalendar n&#39;est pas configuré.
Entity Type,Type d&#39;entité
Mandatory field: set role for,Champ obligatoire: définir le rôle de
Bulk Delete,Suppression en masse
Document Name,Nom du document
Add your own translations,Ajoutez vos propres traductions
eu-central-1,eu-central-1
Yearly,Annuel
Rename,Renommer
Remote Primary Key,Clé primaire distante
Script or Query reports,Rapports de script ou de requête
Next Action Email Template,Modèle d&#39;e-mail d&#39;action suivante
Chain Integrity,Intégrité de la chaîne
Illegal Access Token. Please try again,Jeton d&#39;accès illégal. Veuillez réessayer
"You need to have ""Share"" permission",Vous devez avoir la permission &quot;Partager&quot;
Let's prepare the system for first use.,Préparons le système pour la première utilisation.
circle-arrow-up,cercle-flèche en haut
play,jouer
You have been successfully logged out,Vous avez été déconnecté avec succès
Require Trusted Certificate,Exiger un certificat de confiance
Preview,Aperçu
Reference Owner,Propriétaire de référence
Cannot cancel before submitting. See Transition {0},Impossible d&#39;annuler avant de soumettre. Voir la transition {0}
Unable to update event,Impossible de mettre à jour l&#39;événement
Queued,En file d&#39;attente
Webhook Header,En-tête Webhook
Allow GSuite access,Autoriser l&#39;accès à GSuite
New Newsletter,Nouveau bulletin
Updated To New Version,Mis à jour à la nouvelle version
No {0} mail,Pas de {0} mail
Password Reset,Réinitialiser le mot de passe
From Full Name,De nom complet
Newsletter,Bulletin
Section Break,Coupure de section
play-circle,cercle de jeu
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".",Aucun champ trouvé pouvant être utilisé comme colonne Kanban. Utilisez le formulaire de personnalisation pour ajouter un champ personnalisé de type &quot;Sélectionner&quot;.
Column,Colonne
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Si cette option est activée, les utilisateurs qui se connectent à partir d&#39;une adresse IP restreinte ne seront pas invités à utiliser l&#39;autorisation à deux facteurs."
You do not have enough points,Vous n&#39;avez pas assez de points
More Information,Plus d&#39;information
DocShare,DocShare
Filters,Les filtres
Room,Pièce
{0} items selected,{0} éléments sélectionnés
Leave a Comment,Laissez un commentaire
Stripe Settings,Paramètres de bande
Background Workers,Travailleurs de fond
Customize...,Personnaliser...
Last Year,L&#39;année dernière
Remote Objectname,Nom d&#39;objet distant
yyyy-mm-dd,aaaa-mm-jj
Flag,Drapeau
plane,avion
Nested set error. Please contact the Administrator.,Erreur de jeu imbriquée. S&#39;il vous plaît contacter l&#39;administrateur.
Show Report,Rapport d&#39;émission
Auto Repeat Schedule,Répétition automatique
Office,Bureau
StartTLS,StartTLS
{0} days ago,Il y a {0} jours
Check,Vérifier
Fetch From,Chercher de
Not in Developer Mode,Pas en mode développeur
Verifying...,Vérification ...
Printer,Imprimante
A symbol for this currency. For e.g. $,Un symbole pour cette monnaie. Pour par exemple $
Cannot remove ID field,Impossible de supprimer le champ ID
removed,enlevé
Add Review,Ajouter un commentaire
circle-arrow-left,cercle-flèche-gauche
Dr,Dr
Apply To All Document Types,Appliquer à tous les types de documents
"There were some errors setting the name, please contact the administrator","Il y a eu quelques erreurs lors de la définition du nom, veuillez contacter l&#39;administrateur"
Allow Login After Fail,Autoriser la connexion après un échec
Documents,Les documents
Track Field,Piste de course
Compiled Successfully,Compilé avec succès
{0} criticism points for {1} {2},{0} points de critique pour {1} {2}
in the Auto Repeat document,dans le document de répétition automatique
Access Token,Jeton d&#39;accès
Small Text,Petit texte
Edit {0},Modifier {0}
Web Page,Page Web
Connection Success,Connexion réussie
Completed By,Terminé par
Bypass Two Factor Auth for users who login from restricted IP Address,Ignorer l&#39;authentification à deux facteurs pour les utilisateurs qui se connectent à partir d&#39;une adresse IP restreinte
Missing Values Required,Valeurs manquantes requises
My Settings,Mes paramètres
Group name cannot be empty.,Le nom du groupe ne peut pas être vide.
road,route
Source,La source
Active Sessions,sessions actives
There can be only one Fold in a form,Il ne peut y avoir qu&#39;un seul pli dans un formulaire
New Chat,Nouveau chat
Scan the QR Code and enter the resulting code displayed.,Scannez le code QR et entrez le code résultant affiché.
map-marker,marqueur de carte
Change Password,Changer le mot de passe
More...,Plus...
Personal Data Deletion Request,Demande de suppression de données personnelles
Path to CA Certs File,Chemin d&#39;accès au fichier de certificats de certification
Old Password,ancien mot de passe
No of Columns,Nb de colonnes
Sending,Envoi
Google GSuite is not configured.,Google GSuite n&#39;est pas configuré.
Dropbox access is approved!,L&#39;accès Dropbox est approuvé!
Call,Appel
Day,journée
Shop,Boutique
Under Development,En développement
Please enter Authorize URL,S&#39;il vous plaît entrer URL d&#39;autorisation
Send Notification to,Envoyer une notification à
Dropbox backup settings,Paramètres de sauvegarde Dropbox
Remove all customizations?,Supprimer toutes les personnalisations?
Only Administrator can edit,Seul l&#39;administrateur peut éditer
Reference Document,Document de référence
Liked,Aimé
This is a background report. Please set the appropriate filters and then generate a new one.,"Ceci est un rapport de fond. Veuillez définir les filtres appropriés, puis en générer un nouveau."
Viewed By,Vu par
Please select another payment method. PayPal does not support transactions in currency '{0}',Veuillez sélectionner un autre mode de paiement. PayPal ne prend pas en charge les transactions dans la devise &#39;{0}&#39;.
Document can't saved.,Le document ne peut pas être enregistré.
Did not cancel,N&#39;a pas annulé
"Must be of type ""Attach Image""",Doit être de type &quot;Attach Image&quot;
Send Password Update Notification,Envoyer une notification de mise à jour du mot de passe
XLSX,XLSX
Select a DocType to make a new format,Sélectionnez un type de document pour créer un nouveau format.
Deleted Document,Document supprimé
Please select a file or url,Veuillez sélectionner un fichier ou une URL
Length,Longueur
JSON,JSON
Helvetica,Helvetica
Select Table Columns for {0},Sélectionner les colonnes du tableau pour {0}
Tag Category,Catégorie de tag
A new account has been created for you at {0},Un nouveau compte a été créé pour vous à l&#39;adresse {0}.
Roles can be set for users from their User page.,Les rôles peuvent être définis pour les utilisateurs à partir de leur page d&#39;utilisateur.
Include Search in Top Bar,Inclure la recherche dans la barre supérieure
[Urgent] Error while creating recurring %s for %s,[Urgent] Erreur lors de la création de% s récurrent pour% s
Author,Auteur
on_cancel,on_cancel
No document found for given filters,Aucun document trouvé pour les filtres donnés
Users and Permissions,Utilisateurs et autorisations
Roles,Rôles
Attachments,Les pièces jointes
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Lorsque vous modifiez un document après avoir annulé et sauvegardé le document, il se voit attribuer un nouveau numéro, qui est une version de l&#39;ancien numéro."
Manage Third Party Apps,Gérer les applications tierces
No records tagged.,Aucun enregistrement marqué.
User Emails,Emails utilisateur
Website Theme Image Link,Lien de thème d&#39;image de site Web
Hide Weekends,Masquer les fins de semaine
Criticism,Critique
Download with Data,Télécharger avec les données
Add meta tags to your web pages,Ajouter des balises méta à vos pages Web
john@doe.com,john@doe.com
Days Before,Jours avant
Notify by Email,Notifier par Email
Response Type,Type de réponse
resize-horizontal,redimensionner-horizontal
App {0} already installed,App {0} déjà installée
Time Zone,Fuseau horaire
Fill Screen,Remplir l&#39;écran
County,Comté
First Transaction,Première transaction
Click to Set Filters,Cliquez pour définir les filtres
Background Style,Style de fond
Collapsible,Pliant
PDF generation failed because of broken image links,La génération de PDF a échoué à cause de liens d&#39;image brisés
Migration ID Field,Champ ID de migration
Not a valid LDAP user,Utilisateur LDAP non valide
Create a new record,Créer un nouvel enregistrement
"{0}, Row {1}","{0}, rangée {1}"
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","Si vous téléchargez de nouveaux enregistrements, &quot;Nommage de la série&quot; devient obligatoire, le cas échéant."
Edit Properties,Modifier les propriétés
Cannot open instance when its {0} is open,Impossible d&#39;ouvrir l&#39;instance lorsque son {0} est ouvert
Timeline Name,Nom de la timeline
Workflow,Flux de travail
Please set Base URL in Social Login Key for Frappe,Veuillez définir l&#39;URL de base dans la clé de connexion sociale pour Frappe.
Custom Menu Items,Articles de menu personnalisés
Length of {0} should be between 1 and 1000,La longueur de {0} doit être comprise entre 1 et 1000.
Connection lost. Some features might not work.,Connexion perdue. Certaines fonctionnalités pourraient ne pas fonctionner.
LDAP is not enabled.,LDAP n&#39;est pas activé.
Every Year,Chaque année
Feedback Submitted,Commentaires soumis
Allow Comments,Autoriser les commentaires
Show Title,Montrer le titre
Not Saved,Non enregistré
Can Write,Peut écrire
Main Section,Section principale
Enabled email inbox for user {0},Activation de la boîte de réception pour l&#39;utilisateur {0}
Current Mapping Delete Start,Cartographie actuelle Supprimer Démarrer
Client side script extensions in Javascript,Extensions de script côté client en Javascript
Reference Report,Rapport de référence
Could not find {0},Impossible de trouver {0}
Start,Début
Missing Fields,Champs manquants
File Backup,Sauvegarde de fichier
Is Attachments Folder,Le dossier des pièces jointes
Download Your Data,Téléchargez vos données
Permissions get applied on Users based on what Roles they are assigned.,Les autorisations sont appliquées aux utilisateurs en fonction des rôles qui leur sont attribués.
"Default: ""Contact Us""",Par défaut: &quot;Contactez-nous&quot;
Image field must be of type Attach Image,Le champ d&#39;image doit être de type Joindre une image
Please click on the following link to set your new password,Veuillez cliquer sur le lien suivant pour définir votre nouveau mot de passe
Last User,Dernier utilisateur
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""",Des répétitions comme &quot;abcabcabc&quot; ne sont que légèrement plus difficiles à deviner que &quot;abc&quot;
Country,Pays
Password Update,Mise à jour du mot de passe
dd.mm.yyyy,jj.mm.aaaa
Int,Int
Posts filed under {0},Articles classés sous {0}
Insufficient Permission for {0},Permission insuffisante pour {0}
Documents assigned to you and by you.,Documents assignés à vous et par vous.
Web Site,Site Internet
Re: ,Ré:
Push,Pousser
HTML Editor,Éditeur HTML
Reset your password,réinitialisez votre mot de passe
Recurring document creation failure,Echec récurrent de création de document
Send Email Print Attachments as PDF (Recommended),Envoyer un courriel Imprimer les pièces jointes au format PDF (recommandé)
