Connector Type,نوع اتصال
This link is invalid or expired. Please make sure you have pasted correctly.,این پیوند نامعتبر است یا منقضی شده است لطفا مطمئن شوید که درست وارد شده اید
New Value,ارزش جدید
Due Date,تاریخ تحویل
"Include symbols, numbers and capital letters in the password",شامل علامت ها، اعداد و حروف بزرگ در رمز عبور
Send Alert On,ارسال هشدار در
Home/Test Folder 1/Test Folder 3,صفحه اصلی / تست پوشه 1 / تست پوشه 3
Valid,معتبر
Cannot edit cancelled document,سند لغو شده قابل ویرایش نیست
App Access Key,کلید دسترسی برنامه
Login Before,قبل از ورود
Private,خصوصی
Update many values at one time.,به روز رسانی مقادیر بسیاری در یک زمان.
None,هیچ یک
Partial Success,موفقیت جزئی
{0} comments,{0} نظرات
Emails will be sent with next possible workflow actions,ایمیل ها با اقدامات عملی ممکن در آینده ارسال می شود
adjust,تنظیم کنید
on_change,در تغییر
{0} Name,{0} نام
Same Field is entered more than once,همان فیلد وارد شده بیش از یک بار است
Please select a Amount Field.,لطفا یک فیلد مقدار را انتخاب کنید
Company History,تاریخچه شرکت
No Printer is Available.,چاپگر موجود نیست
Address Line 2,آدرس خط 2
Time Interval,فاصله زمانی
Message Preview,پیش نمایش پیام
Purchase Master Manager,مدیریت استاد خرید
Is Default,پیش فرض
Row Index,شاخص ردیف
Allowed,مجاز
"If you are uploading new records, leave the ""name"" (ID) column blank.",اگر شما آپلود رکوردهای جدید هستید، ستون &quot;نام&quot; (ID) را خالی بگذارید.
Events in Today's Calendar,رویدادها در تقویم امروز
GCalendar is not configured.,GCalendar پیکربندی نشده است.
Entity Type,نوع سازمان
Mandatory field: set role for,زمینه اجباری: نقش تعیین شده برای
Bulk Delete,حذف فله
Document Name,نام سند
Add your own translations,ترجمه های خود را اضافه کنید
eu-central-1,eu-central-1
Yearly,سالانه
Rename,تغییر نام دهید
Remote Primary Key,کلید اولیه راه دور
Script or Query reports,گزارش اسکریپت یا پرس و جو
Next Action Email Template,قالب ایمیل بعدی اقدام
Chain Integrity,یکپارچگی زنجیره
Illegal Access Token. Please try again,برچسب دسترسی غیرقانونی لطفا دوباره تلاش کنید
"You need to have ""Share"" permission",شما باید مجوز &quot;اشتراک گذاری&quot; داشته باشید
Let's prepare the system for first use.,بیایید سیستم را برای اولین بار آماده کنیم.
circle-arrow-up,دایره arrow-up
play,بازی
You have been successfully logged out,شما با موفقیت خارج شدید
Require Trusted Certificate,گواهی اعتبار مورد نیاز
Preview,پیش نمایش
Reference Owner,صاحب مرجع
Cannot cancel before submitting. See Transition {0},قبل از ارسال نمیتوان لغو کرد. مشاهده انتقال {0}
Setup &gt; Customize Form,تنظیمات&gt; فرم سفارشی
Unable to update event,رویداد قابل ارتقا نیست
Queued,در صف
Webhook Header,هدر Webhook
Allow GSuite access,اجازه دسترسی GSuite
New Newsletter,خبرنامه جدید
Updated To New Version,بروز رسانی به نسخه جدید
No {0} mail,بدون {0} ایمیل
Password Reset,تنظیم مجدد رمز عبور
From Full Name,از نام کامل
Newsletter,خبرنامه
Section Break,شکستن بخش
play-circle,بازی دایره
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".",هیچ فیلدی یافت نشد که می تواند به عنوان ستون Kanban استفاده شود. از فرم سفارشی برای اضافه کردن یک فیلد سفارشی از نوع «انتخاب» استفاده کنید.
Column,ستون
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth",اگر فعال شود، کاربرانی که از آدرس IP محدود شده وارد می شوند، برای Two Factor Auth دعوت نمی شوند
You do not have enough points,شما امتیاز کافی ندارید
More Information,اطلاعات بیشتر
DocShare,DocShare
Filters,فیلترها
Room,اتاق
{0} items selected,{0} مورد انتخاب شده است
Leave a Comment,پیام بگذارید
Stripe Settings,تنظیمات نوار
Background Workers,کارگران سابقه
Customize...,شخصی سازی...
<p>No results found for '</p>,"<p style=""""> هیچ نتیجه ای برای &#39; </p>"
Last Year,سال گذشته
Remote Objectname,Objectname از راه دور
yyyy-mm-dd,yyyy-mm-dd
Flag,پرچم
plane,سطح
Nested set error. Please contact the Administrator.,خطای مجموعه مخرب لطفا با مدیر تماس بگیرید
Show Report,نمایش گزارش
Auto Repeat Schedule,خودکار تکرار برنامه
Office,دفتر
StartTLS,StartTLS
{0} days ago,{0} روز پیش
Check,بررسی
Fetch From,واکشی از
Not in Developer Mode,نه در حالت برنامهنویس
Verifying...,تأیید ...
Printer,چاپگر
A symbol for this currency. For e.g. $,یک نماد برای این ارز. برای مثال $
Cannot remove ID field,فیلد شناسه حذف نمی شود
removed,حذف شده
Add Review,اضافه کردن نظر
circle-arrow-left,دایره فلش سمت چپ
Dr,دکتر
Apply To All Document Types,درخواست برای همه انواع سند
"There were some errors setting the name, please contact the administrator",اشتباهاتی در تنظیم نام وجود دارد، لطفا با مدیر تماس بگیرید
Allow Login After Fail,اجازه ورود پس از شکست
Documents,اسناد
Track Field,پیگیری فیلد
Compiled Successfully,کامپایل شده به صورت موفقیت آمیز
{0} criticism points for {1} {2},{0} نقد برای {1} {2}
Warning: This Print Format is in old style and cannot be generated via the API.,هشدار: این نسخه چاپی در سبک قدیمی است و نمی تواند از طریق API ایجاد شود.
in the Auto Repeat document,در سند Auto Repeat
Access Token,نشانه دسترسی
Small Text,متن کوچک
Edit {0},ویرایش {0}
Web Page,صفحه وب
Connection Success,موفقیت اتصال
Completed By,تکمیل شده توسط
Bypass Two Factor Auth for users who login from restricted IP Address,دور زدن دو فاکتور Auth برای کاربرانی که از آدرس IP محدود شده وارد می شوند
Missing Values Required,گمشده ارزش ها مورد نیاز است
My Settings,تنظیمات من
Group name cannot be empty.,نام گروه نمیتواند خالی باشد
road,جاده
Source,منبع
Active Sessions,جلسات فعال
There can be only one Fold in a form,در یک فرم می توان تنها یک فلاش داشته باشد
New Chat,گپ جدید
Scan the QR Code and enter the resulting code displayed.,اسکن کد QR و کد نتیجه نمایش داده شده را وارد کنید.
map-marker,نقشه مارکر
Change Password,تغییر رمز عبور
More...,بیشتر...
Personal Data Deletion Request,درخواست حذف اطلاعات شخصی
Path to CA Certs File,مسیر CA CA Certs File
Old Password,رمز عبور قدیمی
No of Columns,بدون ستون
Sending,در حال ارسال
Google GSuite is not configured.,Google GSuite پیکربندی نشده است.
Dropbox access is approved!,دسترسی به Dropbox تایید شده است!
Call,زنگ زدن
Day,روز
Shop,فروشگاه
Under Development,در حال توسعه
Please enter Authorize URL,لطفا آدرس مجاز را وارد کنید
Send Notification to,ارسال هشدار به
Dropbox backup settings,تنظیمات پشتیبان Dropbox
Remove all customizations?,تمام تنظیمات را حذف کنید؟
Only Administrator can edit,فقط مدیر می تواند ویرایش کند
Reference Document,سند مرجع
Liked,دوست داشت
This is a background report. Please set the appropriate filters and then generate a new one.,این یک گزارش پسزمینه است. لطفا فیلترهای مناسب را تنظیم کنید و سپس یک عدد جدید تولید کنید.
Viewed By,مشاهده شده توسط
Please select another payment method. PayPal does not support transactions in currency '{0}',لطفا یک روش پرداخت دیگر را انتخاب کنید PayPal معاملات در ارز را پشتیبانی نمی کند &quot;{0}&quot;
Document can't saved.,سند نمی تواند ذخیره شود
