Connector Type,Tilslutningstype
Missing Values Required,Manglende værdier påkrævet
My Settings,Mine indstillinger
Group name cannot be empty.,Gruppens navn kan ikke være tomt.
road,vej
Source,Kilde
Active Sessions,Aktive sessioner
There can be only one Fold in a form,Der kan kun være en fold i en formular
New Chat,Ny chat
Scan the QR Code and enter the resulting code displayed.,"Scan QR-koden og indtast den resulterende kode, der vises."
map-marker,kort-markør
Change Password,Skift kodeord
More...,Mere...
Personal Data Deletion Request,Personlig sletning af personlige data
Path to CA Certs File,Sti til CA Certs File
Old Password,Gammelt kodeord
No of Columns,Antal kolonner
Sending,Sende
Google GSuite is not configured.,Google GSuite er ikke konfigureret.
Dropbox access is approved!,Dropbox adgang er godkendt!
Call,Opkald
Day,Dag
Shop,Butik
Under Development,Under udvikling
Please enter Authorize URL,Indtast venligst godkend webadresse
Send Notification to,Send meddelelse til
Dropbox backup settings,Dropbox-sikkerhedskopieringsindstillinger
Remove all customizations?,Fjern alle tilpasninger?
Only Administrator can edit,Kun administrator kan redigere
Reference Document,Referencedokument
Liked,Kunne lide
This is a background report. Please set the appropriate filters and then generate a new one.,Dette er en baggrundsrapport. Indstil de relevante filtre og generer derefter en ny.
Viewed By,Set By
Please select another payment method. PayPal does not support transactions in currency '{0}',Vælg venligst en anden betalingsmetode. PayPal understøtter ikke transaktioner i valuta &#39;{0}&#39;
Document can't saved.,Dokumentet kan ikke gemmes.
Did not cancel,Aflyste ikke
"Must be of type ""Attach Image""",Skal være af typen &quot;Vedhæft billede&quot;
Send Password Update Notification,Send adgangskodeopdatering
XLSX,XLSX
Select a DocType to make a new format,Vælg en DocType for at oprette et nyt format
Deleted Document,Slettet dokument
Please select a file or url,Vælg venligst en fil eller url
Length,Længde
JSON,JSON
Helvetica,Helvetica
Select Table Columns for {0},Vælg tabelkolonner for {0}
Tag Category,Tag kategori
A new account has been created for you at {0},Der er oprettet en ny konto til dig på {0}
Roles can be set for users from their User page.,Roller kan indstilles til brugere fra deres brugerside.
Include Search in Top Bar,Inkluder søgning i øverste linje
[Urgent] Error while creating recurring %s for %s,[Haster] Fejl under oprettelse af tilbagevendende% s for% s
Author,Forfatter
on_cancel,on_cancel
No document found for given filters,Intet dokument fundet for givne filtre
Users and Permissions,Brugere og Tilladelser
Roles,Roller
Attachments,Vedhæftede filer
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Når du ændrer et dokument efter Annuller og gemmer det, vil det få et nyt nummer, der er en version af det gamle nummer."
Manage Third Party Apps,Administrer tredjepartsapplikationer
No records tagged.,Ingen poster mærket.
User Emails,Bruger e-mails
Website Theme Image Link,Website Theme Image Link
Hide Weekends,Skjul weekender
Criticism,Kritik
Download with Data,Download med data
Add meta tags to your web pages,Tilføj metatags til dine websider
john@doe.com,john@doe.com
Days Before,Dage før
Notify by Email,Underret via e-mail
Response Type,Svar Type
resize-horizontal,resize-horisontal
App {0} already installed,App {0} er allerede installeret
Time Zone,Tidszone
Fill Screen,Fyldskærm
County,region
First Transaction,Første transaktion
Click to Set Filters,Klik for at indstille filtre
Background Style,Baggrundsstil
Collapsible,Sammenklappelig
PDF generation failed because of broken image links,PDF-generationen mislykkedes på grund af brudte billedforbindelser
Migration ID Field,Migrations-id-felt
Not a valid LDAP user,Ikke en gyldig LDAP-bruger
Create a new record,Opret en ny post
"{0}, Row {1}","{0}, række {1}"
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","Hvis du uploader nye poster, bliver &quot;Naming Series&quot; obligatorisk, hvis den er til stede."
Edit Properties,Rediger egenskaber
Cannot open instance when its {0} is open,"Kan ikke åbne forekomst, når dens {0} er åben"
Timeline Name,Tidslinjenavn
Workflow,Workflow
Please set Base URL in Social Login Key for Frappe,Angiv basiswebadresse i Social Login-nøgle til Frappe
Custom Menu Items,Brugerdefinerede menupunkter
Length of {0} should be between 1 and 1000,Længden på {0} skal være mellem 1 og 1000
Connection lost. Some features might not work.,Forbindelse afbrudt. Nogle funktioner fungerer muligvis ikke.
LDAP is not enabled.,LDAP er ikke aktiveret.
Every Year,Hvert år
Feedback Submitted,Tilbagemelding indsendt
Allow Comments,Tillad kommentarer
Show Title,Vis titel
Not Saved,Ikke gemt
Can Write,Kan skrive
Main Section,Hovedafsnit
Enabled email inbox for user {0},Aktiveret e-mail-indbakke til bruger {0}
Current Mapping Delete Start,Aktuel kortlægning Slet start
Client side script extensions in Javascript,Client side script extensions i Javascript
Reference Report,Referencerapport
Could not find {0},Kunne ikke finde {0}
Start,Start
Missing Fields,Manglende felter
File Backup,Filbackup
Is Attachments Folder,Er vedhæftede mapper
Download Your Data,Download dine data
Permissions get applied on Users based on what Roles they are assigned.,Tilladelser får anvendelse på brugere baseret på hvilke roller de er tildelt.
"Default: ""Contact Us""",Standard: &quot;Kontakt os&quot;
Image field must be of type Attach Image,Billedfeltet skal være af typen Vedhæft billede
Please click on the following link to set your new password,Venligst klik på nedenstående link for at angive din nye adgangskode
Last User,Sidste bruger
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""",Gentagelser som &quot;abcabcabc&quot; er kun lidt sværere at gætte end &quot;abc&quot;
Country,Land
Password Update,Opdatering af adgangskode
dd.mm.yyyy,dd.mm.åååå
Int,Int
Posts filed under {0},Stillinger arkiveret under {0}
Insufficient Permission for {0},Utilstrækkelig tilladelse til {0}
Documents assigned to you and by you.,Dokumenter tildelt dig og af dig.
Web Site,Internet side
Re: ,Re:
Push,Skubbe
HTML Editor,HTML Editor
Reset your password,Nulstil din adgangskode
Recurring document creation failure,Tilbagevendende fejl i dokumentfrembringelse
Send Email Print Attachments as PDF (Recommended),Send Email Print Vedhæftede filer som PDF (Anbefalet)
Fold,Folde
Document Restored,Dokumentgendannet
{0} saved successfully,{0} gemt med succes
Database Size:,Databasestørrelse:
Check this if you are testing your payment using the Sandbox API,"Tjek dette, hvis du tester din betaling ved hjælp af Sandbox API"
Test Runner,Test Runner
Please enter Access Token URL,Indtast venligst adgangstoken-URL
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} er ikke et gyldigt feltnavn mønster. Det skal være {{field_name}}.
Operation,Operation
An error occured during the payment process. Please contact us.,Der opstod en fejl under betalingsprocessen. Kontakt os venligst.
"Meaning of Submit, Cancel, Amend","Betydning af Indsend, Annuller, Ændre"
Incorrect Verification code,Forkert bekræftelseskode
volume-off,volumen-off
e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...,fx (55 + 434) / 4 eller = Math.sin (Math.PI / 2) ...
facetime-video,FaceTime-video
"Please setup SMS before setting it as an authentication method, via SMS Settings","Indstil SMS, før du indstiller det som en godkendelsesmetode, via SMS-indstillinger"
Test Email Address,Test e-mail-adresse
Rows Added,Rækker tilføjet
Setup,Opsætning
{0} created successfully,{0} oprettet med succes
New Password,nyt kodeord
Leave this conversation,Forlad denne samtale
Team Members,Holdkammerater
Writers Introduction,Forfattere Introduktion
API Key cannot be  regenerated,API-nøglen kan ikke regenereres
Use ASCII encoding for password,Brug ASCII-kodning til adgangskode
Pull Failed,Træk mislykkedes
Timeseries,Tidsserier
Forgot Password?,Glemt kodeord?
For top bar,Til øverste bjælke
From Document Type,Fra dokumenttype
{0} is now default print format for {1} doctype,{0} er nu standard printformat til {1} doktype
Save filters,Gem filtre
Start Import,Start import
Standard Sidebar Menu,Standard sidebjælke menu
Translated Text,Oversat tekst
Footer Item,Footer Item
text in document type,tekst i dokumenttype
Bold,Dristig
Script Report,Script Report
This form does not have any input,Denne formular har ingen input
Top Bar,Top Bar
NO,INGEN
Related DocType,Relateret DocType
"Track if your email has been opened by the recipient.
<br>
Note: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""","Spørg om din e-mail er blevet åbnet af modtageren. <br> Bemærk: Hvis du sender til flere modtagere, selvom 1 modtager læser e-mailen, betragtes den som &quot;Åbnet&quot;"
Filter {0} missing,Filter {0} mangler
Search results for,Søgeresultater for
Title,Titel
Please specify which value field must be checked,Angiv venligst hvilket værdifelt der skal kontrolleres
Doc Event,Doc Event
Quarterly,Kvartalsvis
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,"DocType <b>{0}, der er</b> angivet til feltet <b>{1},</b> skal mindst have et linkfelt"
Calendar View,Kalendervisning
Naming,Navngivning
Role and Level,Rolle og niveau
Content web page.,Indholdswebside.
Recipients,Modtagere
Data Migration Run,Data Migration Kør
New {0}: #{1},Ny {0}: # {1}
Removed {0},Fjernet {0}
The attachments could not be correctly linked to the new document,Vedhæftningerne kunne ikke forbindes korrekt med det nye dokument
Local DocType,Lokal DocType
Info,Info
 by Role ,efter rolle
User {0} is disabled,Bruger {0} er deaktiveret
Cent,Cent
Weekdays,Hverdage
Send Attachements,Send vedhæftede filer
new type of document,ny type dokument
Preprocess Method,Forarbejdningsmetode
Info:,Info:
SMS sent to following numbers: {0},SMS sendt til følgende numre: {0}
Verify Password,Bekræft adgangskode
Prof,Prof
Bounced,afviste
{0} reverted {1},{0} tilbagevenden {1}
View report in your browser,Se rapport i din browser
Points Given,Point givet
{0} weeks ago,{0} uger siden
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Hvis aktiveret, vil kodeordets styrke blive håndhævet baseret på værdien Minimum Password Score. En værdi på 2 er medium stærk og 4 er meget stærk."
Archived Columns,Arkiverede kolonner
DESC,DESC
Home/Test Folder 1,Hjem / Testmappe 1
"Check columns to select, drag to set order.","Tjek kolonner for at vælge, træk for at indstille rækkefølge."
Name,Navn
Email Template,E-mail-skabelon
Review Levels,Gennemgå niveauer
Raw Printing,Råudskrivning
Cannot open {0} when its instance is open,"Kan ikke åbne {0}, når dens forekomst er åben"
"Make ""name"" searchable in Global Search",Gør &quot;navn&quot; søgbart i Global Search
Data Migration Mapping,Data Migration Kortlægning
Partially Successful,Delvis vellykket
Error,Fejl
Fieldtype cannot be changed from {0} to {1} in row {2},Felttype kan ikke ændres fra {0} til {1} i række {2}
Take Photo,Tag et billede
Avoid years that are associated with you.,"Undgå år, der er forbundet med dig."
Allow Incomplete Forms,Tillad ufuldstændige formularer
Last Synced On,Sidste synkroniseret til
Is Private,Er privat
Field Maps,Feltkort
Message Examples,Meddelelseseksempler
Right,Ret
You are now following this document. You will receive daily updates via email. You can change this in User Settings.,Du følger nu dette dokument. Du modtager daglige opdateringer via e-mail. Du kan ændre dette i Brugerindstillinger.
Emails,E-mails
{0} is not a valid Email Address,{0} er ikke en gyldig e-mail-adresse
Private and public Notes.,Private og offentlige noter.
Print Documents,Udskriv dokumenter
{0} or {1},{0} eller {1}
Level,Niveau
Assigned By Me,Tildelt af mig
Help Article,Hjælp artikel
There should remain at least one System Manager,Der skal forblive mindst en systemadministrator
"A new task, {0}, has been assigned to you by {1}. {2}","En ny opgave, {0}, er blevet tildelt dig med {1}. {2}"
Ctrl + Down,Ctrl + Ned
Enter Value,Indtast værdi
View,Udsigt
Default Sort Field,Standard sorteringsfelt
Backup,Backup
Query Options,Forespørgselsindstillinger
Page Missing or Moved,Side mangler eller flyttet
Backups,Backups
Enable Chat,Aktivér chat
Help on Search,Hjælp til søgning
Remove Filter,Fjern filter
User ID of a Blogger,Bruger-id for en Blogger
No file attached,Ingen fil vedhæftet
Line,linje
Blog Title,Blog Titel
Bot,Bot
In Filter,I Filter
Cancel {0} documents?,Annuller {0} dokumenter?
Restore to default settings?,Gendan til standardindstillinger?
Dear {0},Kære {0}
align-left,tilpasse-venstre
Fieldname is limited to 64 characters ({0}),Feltnavn er begrænset til 64 tegn ({0})
Attempting Connection to QZ Tray...,Forsøger forbindelse til QZ-bakke ...
Allow Consecutive Login Attempts ,Tillad på hinanden følgende loginforsøg
Ms,Frk
Translations,Oversættelser
Assigned By Full Name,Tildelt efter fuldt navn
Take Video,Tag video
Stats based on last month's performance (from {0} to {1}),Statistikker baseret på sidste måneds præstationer (fra {0} til {1})
Can't save the form as data import is in progress.,"Kan ikke gemme formularen, da dataimporten pågår."
Invalid Token,Ugyldig Token
DocType on which this Workflow is applicable.,"DocType, hvor denne Workflow er anvendelig."
Payment Success,Betaling Succes
indent-right,led-højre
Could not find {0} in {1},Kunne ikke finde {0} i {1}
Authentication Credentials,Autentificeringsoplysninger
Implicit,Implicit
Dropbox Access Token,Dropbox Access Token
"Dear User,","Kære bruger,"
Session Token,Session Token
Linked,Linked
mm-dd-yyyy,mm-dd-yyyy
View Properties (via Customize Form),Se egenskaber (via Tilpas Formular)
step-forward,skridt fremad
