Connector Type,Typ konektora
Users and Permissions,Používatelia a povolenia
Roles,role
Attachments,prílohy
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Keď zmeníte dokument po zrušení a uložení, dostane nové číslo, ktoré je verziou starého čísla."
Manage Third Party Apps,Spravovať aplikácie tretej strany
No records tagged.,Neboli označené žiadne záznamy.
User Emails,Používateľské e-maily
Website Theme Image Link,Webová stránka Theme Image Link
Hide Weekends,Skryť víkendy
Criticism,Kritika
Download with Data,Prevziať s údajmi
Add meta tags to your web pages,Pridajte meta tagy na vaše webové stránky
john@doe.com,john@doe.com
Days Before,Dni pred
Notify by Email,Upozorniť e-mailom
Response Type,Typ odpovede
resize-horizontal,veľkosť vodorovné
App {0} already installed,Aplikácia {0} je už nainštalovaná
Time Zone,Časové pásmo
Fill Screen,Vyplňte obrazovku
County,grófstva
First Transaction,Prvá transakcia
Click to Set Filters,"Kliknite, ak chcete nastaviť filtre"
Background Style,Štýl pozadia
Collapsible,skladacie
PDF generation failed because of broken image links,Generovanie PDF zlyhalo kvôli prerušeným obrázkovým odkazom
Migration ID Field,Pole Migration ID
Not a valid LDAP user,Nie je platný používateľ LDAP
Create a new record,Vytvorte nový záznam
"{0}, Row {1}","{0}, riadok {1}"
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","Ak nahrávate nové záznamy, „Naming Series“ sa stane povinným, ak je k dispozícii."
Edit Properties,Upraviť vlastnosti
Cannot open instance when its {0} is open,"Nie je možné otvoriť inštanciu, keď je otvorená hodnota {0}"
Timeline Name,Názov časovej osi
Workflow,workflow
Please set Base URL in Social Login Key for Frappe,Nastavte Základnú adresu URL v poli Sociálne prihlásenie pre službu Frappe
Custom Menu Items,Položky vlastnej ponuky
Length of {0} should be between 1 and 1000,Dĺžka {0} by mala byť medzi 1 a 1000
Connection lost. Some features might not work.,Prerušené spojenie. Niektoré funkcie nemusia fungovať.
LDAP is not enabled.,LDAP nie je povolený.
Every Year,Každý rok
Feedback Submitted,Odozva bola odoslaná
Allow Comments,Povoliť komentáre
Show Title,Zobraziť titul
Not Saved,Neuložené
Can Write,Môže písať
Main Section,Hlavná sekcia
Enabled email inbox for user {0},Povolená e-mailová schránka pre používateľa {0}
Current Mapping Delete Start,Current Mapping Zmazať Start
Client side script extensions in Javascript,Rozšírenia skriptu na strane klienta v jazyku Javascript
Reference Report,Referenčná správa
Could not find {0},Nepodarilo sa nájsť {0}
Start,štart
Missing Fields,Chýbajúce polia
File Backup,Zálohovanie súborov
Is Attachments Folder,Je priečinok príloh
Download Your Data,Stiahnite si svoje údaje
Permissions get applied on Users based on what Roles they are assigned.,"Oprávnenia sa aplikujú na Používateľov na základe toho, aké úlohy sú priradené."
"Default: ""Contact Us""",Predvolená hodnota: „Kontaktujte nás“
Image field must be of type Attach Image,Pole obrázku musí byť typu Pripojiť obrázok
Please click on the following link to set your new password,"Ak chcete nastaviť nové heslo, kliknite na nasledujúci odkaz"
Last User,Posledný používateľ
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""",Opakovania ako &quot;abcabcabc&quot; sú len o niečo ťažšie uhádnuť ako &quot;abc&quot;
Country,Krajina
Password Update,Aktualizácia hesla
dd.mm.yyyy,dd.mm.yyyy
Int,Int
Posts filed under {0},Príspevky podané pod {0}
Insufficient Permission for {0},Nedostatočné povolenie pre {0}
Documents assigned to you and by you.,Dokumenty priradené vám a vám.
Web Site,Webové stránky
Re: ,re:
Push,Tlačiť
HTML Editor,Editor HTML
Reset your password,Obnoviť heslo
Recurring document creation failure,Opakované zlyhanie vytvárania dokumentov
Send Email Print Attachments as PDF (Recommended),Odoslať e-mail Tlačiť prílohy ako PDF (odporúča sa)
Fold,zložiť
Document Restored,Dokument bol obnovený
{0} saved successfully,{0} bolo úspešne uložené
Database Size:,Veľkosť databázy:
Check this if you are testing your payment using the Sandbox API,"Skontrolujte, či testujete platbu pomocou rozhrania API služby Sandbox"
Test Runner,Test Runner
Please enter Access Token URL,Zadajte adresu URL prístupového tokenu
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} nie je platným vzorom poľa. Mal by byť {{field_name}}.
Operation,operácie
An error occured during the payment process. Please contact us.,Počas platobného procesu sa vyskytla chyba. Prosím kontaktuj nás.
"Meaning of Submit, Cancel, Amend","Význam Submit, Cancel, Amend"
Incorrect Verification code,Nesprávny verifikačný kód
volume-off,Objem-off
e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...,napr. (55 + 434) / 4 alebo = Math.sin (Math.PI / 2) ...
facetime-video,FaceTime-video
"Please setup SMS before setting it as an authentication method, via SMS Settings","Prosím nastavte SMS pred nastavením ako autentifikačnú metódu, cez SMS Nastavenia"
Test Email Address,Test e-mailovej adresy
Rows Added,Pridané riadky
Setup,Nastaviť
{0} created successfully,{0} úspešne vytvorené
New Password,Nové heslo
Leave this conversation,Nechajte túto konverzáciu
Team Members,Členovia tímu
Writers Introduction,Spisovatelia Úvod
API Key cannot be  regenerated,API kľúč nie je možné obnoviť
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","Chyba pri pripojení k aplikácii QZ Tray ... <br><br> Aby ste mohli používať funkciu Raw Print, musíte mať nainštalovanú a spustenú aplikáciu QZ Tray. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">Kliknite tu pre stiahnutie a inštaláciu QZ Tray</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Ak sa chcete dozvedieť viac o Raw Printing, kliknite sem</a> ."
Use ASCII encoding for password,Použite kódovanie ASCII pre heslo
Pull Failed,Pull Failed
Timeseries,TimeSeries
Forgot Password?,Zabudol si heslo?
For top bar,Pre horný panel
From Document Type,Z typu dokumentu
{0} is now default print format for {1} doctype,{0} je teraz predvolený formát tlače pre {1} doctype
Save filters,Uložiť filtre
Start Import,Spustiť import
Standard Sidebar Menu,Menu Štandardný bočný panel
Translated Text,Preložený text
Footer Item,Položka päty
text in document type,text v type dokumentu
Bold,smelý
Script Report,Správa skriptu
This form does not have any input,Tento formulár nemá žiadny vstup
Top Bar,Top Bar
NO,NO
Related DocType,Súvisiace dokumenty DocType
"Track if your email has been opened by the recipient.
<br>
Note: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""","Sledujte, či príjemca otvoril váš e-mail. <br> Poznámka: Ak odosielate viacero príjemcov, aj keď jeden príjemca prečíta e-mail, bude považovaný za „Otvorený“"
Filter {0} missing,Filter {0} chýba
Search results for,Výsledky vyhľadávania pre
Title,nadpis
Please specify which value field must be checked,"Zadajte, ktoré pole hodnôt musí byť začiarknuté"
Doc Event,Doc Event
Quarterly,štvrťročné
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,DocType <b>{0}</b> pre pole <b>{1}</b> musí mať aspoň jedno pole Link
Calendar View,Zobrazenie kalendára
Naming,pomenovanie
Role and Level,Úloha a úroveň
Content web page.,Webová stránka s obsahom.
Recipients,príjemcovia
Data Migration Run,Beh migrácie dát
New {0}: #{1},Nové {0}: # {1}
Removed {0},Odstránené {0}
The attachments could not be correctly linked to the new document,Prílohy nemohli byť správne prepojené s novým dokumentom
Local DocType,Miestny DocType
Info,Info
 by Role ,Role
User {0} is disabled,Používateľ {0} je zakázaný
Cent,cent
Weekdays,Dni v týždni
Send Attachements,Prílohy na odosielanie
new type of document,nový typ dokumentu
Preprocess Method,Metóda predspracovania
Info:,Info:
SMS sent to following numbers: {0},SMS odoslané na nasledujúce čísla: {0}
Verify Password,Overte heslo
Prof,profesor
Bounced,odrazil
{0} reverted {1},{0} vrátené {1}
View report in your browser,Zobraziť prehľad vo svojom prehliadači
Points Given,Body Dané
{0} weeks ago,{0} pred týždňami
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Ak je táto možnosť povolená, bude sila hesla vynútená na základe minimálnej hodnoty skóre hesla. Hodnota 2 je stredne silná a 4 veľmi silná."
Archived Columns,Archivované stĺpce
DESC,DESC
Home/Test Folder 1,Priečinok Home / Test 1
"Check columns to select, drag to set order.","Začiarknite stĺpce, ktoré chcete vybrať, ťahaním nastavte poradie."
Name,názov
Email Template,Šablóna e-mailu
Review Levels,Úrovne kontroly
Raw Printing,Surová tlač
Cannot open {0} when its instance is open,"{0} sa nedá otvoriť, keď je otvorená jeho inštancia"
"Make ""name"" searchable in Global Search",V prehliadači Global Search môžete vyhľadávať pomocou názvu
Data Migration Mapping,Mapovanie migrácie dát
Setup &gt; Customize Form,Nastavenie&gt; Prispôsobiť formulár
Partially Successful,Čiastočne úspešné
Error,Chyba
Fieldtype cannot be changed from {0} to {1} in row {2},Typ poľa nie je možné zmeniť z {0} na {1} v riadku {2}
Take Photo,Odfoť
Avoid years that are associated with you.,"Vyhnite sa rokom, ktoré sú s vami spojené."
Allow Incomplete Forms,Povoliť nedokončené formuláre
Last Synced On,Posledný Synced On
Is Private,Je súkromný
Field Maps,Mapy poľa
Message Examples,Príklady správ
Right,Správny
You are now following this document. You will receive daily updates via email. You can change this in User Settings.,Teraz sledujete tento dokument. Denné aktualizácie dostanete prostredníctvom e-mailu. Môžete to zmeniť v časti Nastavenia používateľa.
Emails,e-maily
{0} is not a valid Email Address,{0} nie je platná e-mailová adresa
Private and public Notes.,Súkromné a verejné bankovky.
Print Documents,Tlač dokumentov
{0} or {1},{0} alebo {1}
Level,hladina
Assigned By Me,Priradený Me
Help Article,Článok Pomocníka
There should remain at least one System Manager,Mal by zostať aspoň jeden správca systému
"A new task, {0}, has been assigned to you by {1}. {2}","Nová úloha, {0}, vám bola pridelená {1}. {2}"
Ctrl + Down,Ctrl + Down
Enter Value,Zadajte hodnotu
View,vyhliadka
Default Sort Field,Predvolené zoradené pole
Backup,zálohovanie
Query Options,Možnosti dotazu
Page Missing or Moved,Stránka Chýba alebo bola presunutá
Backups,zálohy
Enable Chat,Povoliť konverzáciu
Help on Search,Pomoc pri vyhľadávaní
Remove Filter,Odstrániť filter
User ID of a Blogger,ID používateľa služby Blogger
No file attached,Nie je pripojený žiadny súbor
Line,riadok
Blog Title,názov blogu
Bot,Bot
In Filter,Vo filtri
Cancel {0} documents?,Zrušiť {0} dokumenty?
Restore to default settings?,Obnoviť predvolené nastavenia?
Dear {0},Vážený {0}
align-left,zarovnať doľava
Fieldname is limited to 64 characters ({0}),Názov poľa je obmedzený na 64 znakov ({0})
Attempting Connection to QZ Tray...,Pokus o pripojenie k zásobníku QZ ...
Allow Consecutive Login Attempts ,Povoliť postupné pokusy o prihlásenie
Ms,pani
Translations,preklady
Assigned By Full Name,Priradené celým menom
Take Video,Vezmite video
Stats based on last month's performance (from {0} to {1}),Štatistiky založené na výkonnosti minulého mesiaca (od {0} do {1})
Can't save the form as data import is in progress.,Pri importovaní údajov nie je možné formulár uložiť.
Invalid Token,Neplatný Token
DocType on which this Workflow is applicable.,"DocType, na ktorom je tento pracovný postup aplikovateľný."
Payment Success,Úspech platby
indent-right,zarážky-right
Could not find {0} in {1},Nepodarilo sa nájsť {0} v {1}
Authentication Credentials,Autentifikačné poverenia
Implicit,implicitné
Dropbox Access Token,Prístupový tok Dropbox
"Dear User,","Vážený používateľ,"
Session Token,Session Token
Linked,Spojený
mm-dd-yyyy,mm-dd-rrrr
View Properties (via Customize Form),Zobraziť vlastnosti (prostredníctvom prispôsobeného formulára)
step-forward,krok vpred
Upload,Nahrať
Please Install the ldap3 library via pip to use ldap functionality.,"Nainštalujte knižnicu ldap3 cez pip, aby ste mohli používať funkciu ldap."
domain name,doménové meno
Theme URL,Adresa URL témy
Send an email reminder in the morning,Poslať ráno e-mailovú pripomienku
Mute Sounds,Vypnutie zvuku
Dark Color,Tmavá farba
shopping-cart,nákupný vozík
Summary,zhrnutie
Give Review Points,Uveďte kontrolné body
Unable to load: {0},Nepodarilo sa načítať: {0}
New Message,Nová správa
Paste,pasta
Import,import
{0} edited this {1},{0} upravilo toto {1}
Static Parameters,Statické parametre
Custom Tags,Vlastné značky
Security,zabezpečenia
Payment Gateway,Platobná brána
{0} {1} cannot be a leaf node as it has children,"{0} {1} nemôže byť listovým uzlom, pretože má deti"
Did not remove,Neodstránili
Comment By,Komentár Od
Symbol,symbol
You gained {0} points,Získali ste {0} bodov
Amending,ktorým sa mení
In Global Search,V globálnom vyhľadávaní
SMS Settings,Nastavenia SMS
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.","Určité dokumenty, ako napríklad faktúra, by sa nemali meniť po finále. Konečný stav takýchto dokumentov sa nazýva Odoslané. Môžete obmedziť, ktoré role môžete odoslať."
