Connector Type,Liittimen tyyppi
From Full Name,Täydestä nimestä
Newsletter,tiedote
Section Break,Jakson rikkoutuminen
play-circle,play-ympyrä
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".","Mitään kenttiä, joita voidaan käyttää Kanban-sarakkeena, ei löydy. Käytä Mukauta lomaketta, jos haluat lisätä mukautetun kentän, jonka tyyppi on &quot;Valitse&quot;."
Column,sarake
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Jos tämä on käytössä, käyttäjiä, jotka kirjautuvat sisään Rajoitettu IP-osoite, ei kehoteta antamaan Kaksi tekijää"
You do not have enough points,Sinulla ei ole tarpeeksi pisteitä
More Information,Lisää tietoa
DocShare,DocShare
Filters,Suodattimet
Room,Huone
{0} items selected,{0} valitut kohteet
Leave a Comment,Jätä kommentti
Stripe Settings,Raidan asetukset
Background Workers,Taustatyöntekijät
Customize...,Muokata ...
<p>No results found for '</p>,<p> Ei tuloksia haulla &#39; </p>
Last Year,Viime vuonna
Remote Objectname,Kauko-objektinimi
yyyy-mm-dd,yyyy-mm-dd
Flag,Lippu
plane,kone
Nested set error. Please contact the Administrator.,Sisään asetettu virhe. Ota yhteyttä järjestelmänvalvojaan.
Show Report,Näytä raportti
Auto Repeat Schedule,Auto Repeat Schedule
Office,toimisto
StartTLS,StartTLS
{0} days ago,{0} päivää sitten
Check,Tarkistaa
Fetch From,Hae kohteesta
Not in Developer Mode,Ei kehittäjätilassa
Verifying...,Tarkistetaan ...
Printer,kirjoitin
A symbol for this currency. For e.g. $,Symboli tälle valuutalle. Esimerkiksi $
Cannot remove ID field,ID-kenttää ei voi poistaa
removed,poistettu
Add Review,Lisää arvostelu
circle-arrow-left,ympyrä-nuoli-vasemmalle
Dr,DR
Apply To All Document Types,Käytä kaikkia dokumenttityyppejä
"There were some errors setting the name, please contact the administrator","Nimi oli virheitä, ota yhteyttä järjestelmänvalvojaan"
Allow Login After Fail,Salli kirjautumisen epäonnistumisen jälkeen
Documents,asiakirjat
Track Field,Seuraa kenttää
Compiled Successfully,Käännetty onnistuneesti
{0} criticism points for {1} {2},{0} kritisoi pisteitä {1} {2}
Warning: This Print Format is in old style and cannot be generated via the API.,Varoitus: Tämä tulostusmuoto on vanha ja sitä ei voi luoda API: n kautta.
in the Auto Repeat document,Auto Repeat -asiakirjassa
Access Token,Access Token
Small Text,Pieni teksti
Edit {0},Muokkaa {0}
Web Page,Nettisivu
Connection Success,Yhteyden onnistuminen
Completed By,Täydentänyt
Bypass Two Factor Auth for users who login from restricted IP Address,"Ohita kaksi tekijää Auth käyttäjille, jotka kirjautuvat rajoitetusta IP-osoitteesta"
Missing Values Required,Tarvittavat arvot puuttuvat
My Settings,Asetukseni
Group name cannot be empty.,Ryhmän nimi ei voi olla tyhjä.
road,tie
Source,Lähde
Active Sessions,Aktiiviset istunnot
There can be only one Fold in a form,Lomakkeessa voi olla vain yksi taitto
New Chat,Uusi keskustelu
Scan the QR Code and enter the resulting code displayed.,Skannaa QR-koodi ja anna tuloksena oleva koodi.
map-marker,kartta-merkki
Change Password,Vaihda salasana
More...,Lisää...
Personal Data Deletion Request,Henkilötietojen poistopyyntö
Path to CA Certs File,Polku CA Certs-tiedostoon
Old Password,vanha salasana
No of Columns,Sarakkeiden lukumäärä
Sending,lähettämällä
Google GSuite is not configured.,Google GSuite ei ole määritetty.
Dropbox access is approved!,Dropbox-käyttöoikeus on hyväksytty!
Call,Soittaa puhelimella
Day,Päivä
Shop,Myymälä
Under Development,Kehitteillä
Please enter Authorize URL,Anna valtuutuksen URL-osoite
Send Notification to,Lähetä ilmoitus
Dropbox backup settings,Dropbox-varmuuskopiointiasetukset
Remove all customizations?,Poista kaikki mukautukset?
Only Administrator can edit,Vain ylläpitäjä voi muokata
Reference Document,Viiteasiakirja
Liked,toivonut
This is a background report. Please set the appropriate filters and then generate a new one.,Tämä on taustaraportti. Aseta sopivat suodattimet ja luo sitten uusi.
Viewed By,Katsottu
Please select another payment method. PayPal does not support transactions in currency '{0}',Valitse toinen maksutapa. PayPal ei tue valuuttatapahtumia {0}
Document can't saved.,Asiakirjaa ei voi tallentaa.
Did not cancel,Ei peruutettu
"Must be of type ""Attach Image""",Täytyy olla tyyppiä &quot;Liitä kuva&quot;
Send Password Update Notification,Lähetä salasanan päivitysilmoitus
XLSX,XLSX
Select a DocType to make a new format,Valitse uusi tiedostomuoto valitsemalla DocType
Deleted Document,Poistettu asiakirja
Please select a file or url,Valitse tiedosto tai URL-osoite
Length,Pituus
JSON,JSON
Helvetica,Helvetica
Select Table Columns for {0},Valitse {0} taulukon sarakkeet
Tag Category,Tagiluokka
A new account has been created for you at {0},Sinulle on luotu uusi tili {0}
Roles can be set for users from their User page.,Rooleja voidaan määrittää käyttäjille niiden Käyttäjän sivulta.
Include Search in Top Bar,Sisällytä haku yläpalkissa
[Urgent] Error while creating recurring %s for %s,[Kiireellinen] Virhe luotaessa toistuvia% s: ta% s: lle
Author,kirjailija
on_cancel,on_cancel
No document found for given filters,Tiettyjä suodattimia ei löytynyt
Users and Permissions,Käyttäjät ja käyttöoikeudet
Roles,roolit
Attachments,Liitteet
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Kun muutat asiakirjaa Peruuta-kohdan jälkeen ja tallennat sen, se saa uuden numeron, joka on vanhan numeron versio."
Manage Third Party Apps,Hallitse kolmannen osapuolen sovelluksia
No records tagged.,Merkintöjä ei ole merkitty.
User Emails,Käyttäjän sähköpostit
Website Theme Image Link,Verkkosivuston teema-linkki
Hide Weekends,Piilota viikonloput
Criticism,kritiikki
Download with Data,Lataa tiedot
Add meta tags to your web pages,Lisää metakoodeja verkkosivuillesi
john@doe.com,john@doe.com
Days Before,Päivää ennen
Notify by Email,Ilmoita sähköpostitse
Response Type,Vastaustyyppi
resize-horizontal,kokoa horisontaaliset
App {0} already installed,Sovellus {0} on jo asennettu
Time Zone,Aikavyöhyke
Fill Screen,Täytä näyttö
County,Lääni
First Transaction,Ensimmäinen tapahtuma
Click to Set Filters,Valitse Asenna suodattimet
Background Style,Taustan tyyli
Collapsible,Kokoontaitettava
PDF generation failed because of broken image links,PDF-sukupolvi epäonnistui katkenneiden kuvalinkkien takia
Migration ID Field,Siirtotunnuksen kenttä
Not a valid LDAP user,Ei ole kelvollinen LDAP-käyttäjä
Create a new record,Luo uusi tietue
"{0}, Row {1}","{0}, rivi {1}"
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","Jos lähetät uusia tietueita, &quot;Naming Series&quot; tulee pakolliseksi, jos se on olemassa."
Edit Properties,Muokkaa ominaisuuksia
Cannot open instance when its {0} is open,"Esimerkkinä ei voi avata, kun sen {0} on auki"
Timeline Name,Aikajanan nimi
Workflow,Työnkulku
Please set Base URL in Social Login Key for Frappe,Aseta perus URL-osoite Frappen sosiaalisen kirjautumisen avaimeen
Custom Menu Items,Mukautetut valikkokohdat
Length of {0} should be between 1 and 1000,{0}: n pituuden tulisi olla 1 - 1000
Connection lost. Some features might not work.,Yhteys kadotettu. Jotkin toiminnot eivät ehkä toimi.
LDAP is not enabled.,LDAP ei ole käytössä.
Every Year,Joka vuosi
Feedback Submitted,Palaute lähetetty
Allow Comments,Hyväksy kommentit
Show Title,Näytä otsikko
Not Saved,Ei tallennettu
Can Write,Voi kirjoittaa
Main Section,Pääosa
Enabled email inbox for user {0},Käyttäjä {0}
Current Mapping Delete Start,Nykyinen kartoitus Poista alku
Client side script extensions in Javascript,Asiakaspuolen komentosarjan laajennukset Javascriptissä
Reference Report,Viitetiedot
Could not find {0},{0} ei löytynyt
Start,alkaa
Missing Fields,Puuttuvat kentät
File Backup,Tiedoston varmuuskopiointi
Is Attachments Folder,Onko liitteiden kansio
Download Your Data,Lataa tiedot
Permissions get applied on Users based on what Roles they are assigned.,"Käyttöoikeuksia haetaan käyttäjille sen perusteella, mitä rooleja ne on määritetty."
"Default: ""Contact Us""",Oletus: &quot;Ota yhteyttä&quot;
Image field must be of type Attach Image,Kuvan kentän on oltava Liitä kuva
Please click on the following link to set your new password,Aseta uusi salasana napsauttamalla seuraavaa linkkiä
Last User,Viimeinen käyttäjä
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""","Toistoja, kuten &quot;abcabcabc&quot;, on vain hieman vaikeampi arvata kuin &quot;abc&quot;"
Country,Maa
Password Update,Salasanan päivitys
dd.mm.yyyy,pp.kk.vvvv
Int,int
Posts filed under {0},Postit {0}
Insufficient Permission for {0},Ei riittävästi lupaa {0}
Documents assigned to you and by you.,Teille ja teille osoitetut asiakirjat.
Web Site,Verkkosivusto
Re: ,Re:
Push,Työntää
HTML Editor,HTML-editori
Reset your password,Nollaa salasana
Recurring document creation failure,Toistuvat asiakirjojen luontihäiriöt
Send Email Print Attachments as PDF (Recommended),Lähetä sähköpostitulostusliitteet PDF-muodossa (suositeltava)
Fold,taittaa
Document Restored,Asiakirjan palauttaminen
{0} saved successfully,{0} tallennettu onnistuneesti
Database Size:,Tietokannan koko:
Check this if you are testing your payment using the Sandbox API,"Tarkista tämä, jos testaat maksun Sandbox API: n avulla"
Test Runner,Testaa Runner
Please enter Access Token URL,Anna Access Token URL-osoite
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} ei ole kelvollinen kenttänimi. Sen pitäisi olla {{field_name}}.
Operation,Operaatio
An error occured during the payment process. Please contact us.,Maksuprosessin aikana tapahtui virhe. Ota yhteyttä.
"Meaning of Submit, Cancel, Amend","Merkitys Lähetä, Peruuta, Muuta"
Incorrect Verification code,Virheellinen vahvistuskoodi
volume-off,tilavuus-off
e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...,esim. (55 + 434) / 4 tai = Math.sin (Math.PI / 2) ...
facetime-video,FaceTime-video
"Please setup SMS before setting it as an authentication method, via SMS Settings",Aseta tekstiviesti ennen kuin asetat sen todennusmenetelmäksi tekstiviestiasetusten avulla
Test Email Address,Testaa sähköpostiosoite
Rows Added,Rivit lisätään
Setup,Perustaa
{0} created successfully,{0} luotu onnistuneesti
New Password,uusi salasana
Leave this conversation,Jätä tämä keskustelu
Team Members,Ryhmän jäsenet
Writers Introduction,Kirjoittajat Johdanto
API Key cannot be  regenerated,API-avainta ei voi palauttaa
Use ASCII encoding for password,Käytä salasanan ASCII-koodausta
Pull Failed,Vedä epäonnistui
Timeseries,Aikasarja
Forgot Password?,Unohtuiko salasana?
For top bar,Yläpalkille
From Document Type,Asiakirjan tyypistä
{0} is now default print format for {1} doctype,{0} on nyt {1} doctype: n oletustulostusmuoto
Save filters,Tallenna suodattimet
Start Import,Aloita tuonti
Standard Sidebar Menu,Normaali sivupalkkivalikko
Translated Text,Käännetty teksti
Footer Item,Alatunniste
text in document type,teksti asiakirjan tyypissä
Bold,rohkea
Script Report,Script-raportti
This form does not have any input,Tällä lomakkeella ei ole mitään tuloa
Top Bar,Yläpalkki
NO,EI
Related DocType,Aiheeseen liittyvä DocType
"Track if your email has been opened by the recipient.
<br>
Note: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""","Seuraa, onko vastaanottaja avannut sähköpostisi. <br> Huomautus: Jos lähetät useita vastaanottajia, vaikka yksi vastaanottaja lukee sähköpostiviestin, se katsotaan &quot;avatuksi&quot;"
Filter {0} missing,Suodatin {0} puuttuu
Search results for,Etsi tuloksia
Title,otsikko
Please specify which value field must be checked,"Määritä, mitä arvokenttää on tarkistettava"
Doc Event,Doc Event
Quarterly,Neljännesvuosittain
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,Doctype <b>{0}</b> säädetty alalla <b>{1}</b> on oltava atleast yksi Linkki-
Calendar View,Kalenterinäkymä
Naming,nimeäminen
Role and Level,Rooli ja taso
Content web page.,Sisällön verkkosivu.
Recipients,vastaanottajat
Data Migration Run,Tietojen siirtoajo
New {0}: #{1},Uusi {0}: # {1}
Removed {0},Poistettu {0}
The attachments could not be correctly linked to the new document,Liitteitä ei voitu liittää oikein uuteen asiakirjaan
Local DocType,Paikallinen DocType
Info,Tiedot
 by Role ,Role
User {0} is disabled,Käyttäjä {0} on poistettu käytöstä
Cent,sentti
Weekdays,Arkisin
Send Attachements,Lähetä liitetiedostot
new type of document,uudenlaista asiakirjaa
Preprocess Method,Preprocess-menetelmä
Info:,Tiedot:
SMS sent to following numbers: {0},Tekstiviestit lähetetään seuraaviin numeroihin: {0}
Verify Password,Vahvista salasana
Prof,prof
Bounced,pomppi
{0} reverted {1},{0} palautti {1}
View report in your browser,Näytä raportti selaimessasi
Points Given,Annettuja pisteitä
{0} weeks ago,{0} viikkoa sitten
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.","Jos tämä on käytössä, salasanan vahvuus otetaan käyttöön salasanan vähimmäisarvon perusteella. Arvo 2 on keskivahva ja 4 erittäin vahva."
Archived Columns,Arkistoidut sarakkeet
DESC,DESC
Home/Test Folder 1,Koti / koekansio 1
"Check columns to select, drag to set order.",Valitse sarakkeet ja valitse järjestys.
Name,Nimi
Email Template,Sähköpostimalli
Review Levels,Tarkista tasot
Raw Printing,Raaka tulostus
Cannot open {0} when its instance is open,"{0} ei voi avata, kun sen esiintymä on auki"
"Make ""name"" searchable in Global Search",Tee &quot;nimi&quot; haettavaksi Global Searchissa
Data Migration Mapping,Tiedonsiirron kartoitus
Partially Successful,Osittain onnistunut
Error,Virhe
Fieldtype cannot be changed from {0} to {1} in row {2},Kenttätyyppiä ei voi muuttaa {0} - {1} rivillä {2}
Take Photo,Ota valokuva
Avoid years that are associated with you.,"Vältä vuosia, jotka liittyvät sinuun."
Allow Incomplete Forms,Salli epätäydelliset lomakkeet
Last Synced On,Viimeisin synkronoitu
Is Private,On yksityinen
Field Maps,Kenttäkartat
Message Examples,Viestin esimerkit
Right,oikea
You are now following this document. You will receive daily updates via email. You can change this in User Settings.,Seuraat nyt tätä asiakirjaa. Saat päivittäin päivityksiä sähköpostitse. Voit muuttaa tätä käyttäjän asetuksissa.
Emails,sähköpostit
{0} is not a valid Email Address,{0} ei ole kelvollinen sähköpostiosoite
Private and public Notes.,Yksityiset ja julkiset muistiinpanot.
Print Documents,Tulosta asiakirjat
{0} or {1},{0} tai {1}
Level,Taso
Assigned By Me,Omistettu minulle
Help Article,Ohje-artikkeli
There should remain at least one System Manager,Vähintään yhden System Managerin pitäisi olla
"A new task, {0}, has been assigned to you by {1}. {2}",{1} on antanut sinulle uuden tehtävän {0}. {2}
Ctrl + Down,Ctrl + Alas
Enter Value,Anna arvo
View,näkymä
Default Sort Field,Oletuslajittelukenttä
Backup,Varmuuskopioida
Query Options,Kyselyasetukset
Page Missing or Moved,Sivu puuttuu tai siirretty
Backups,varmuuskopiot
Enable Chat,Ota keskustelu käyttöön
Help on Search,Ohje Haku
Remove Filter,Poista suodatin
User ID of a Blogger,Bloggerin käyttäjätunnus
No file attached,Tiedostoa ei ole liitetty
Line,Linja
Blog Title,blogin otsikko
Bot,bot
In Filter,Suodattimessa
Cancel {0} documents?,Peruuta {0} asiakirjat?
Restore to default settings?,Palauta oletusasetukset?
Dear {0},Hyvä {0}
align-left,tasaa vasemmalle
Fieldname is limited to 64 characters ({0}),Kentänimi on enintään 64 merkkiä ({0})
Attempting Connection to QZ Tray...,Kytkentä QZ-lokeroihin ...
Allow Consecutive Login Attempts ,Salli peräkkäisten sisäänkirjautumisyritysten tekeminen
Ms,neiti
Translations,käännökset
