Connector Type,Цоннецтор Типе
"To format columns, give column labels in the query.","Да бисте форматирали колоне, наведите ознаке колона у упиту."
First Success Message,Прва порука о успјеху
{0} is a mandatory field,{0} је обавезно поље
Illegal Document Status for {0},Незаконити статус документа за {0}
Submiting {0},Слање {0}
To and CC,То и ЦЦ
Left this conversation,Напустио је овај разговор
Inbox,Инбок
Expired,Екпиред
Show tags,Прикажи ознаке
Select Role,Изаберите Улога
Edit in Full Page,Едит ин Фулл Паге
Successfully updated translations,Успешно ажурирани преводи
Option 2,Опција 2
Missing parameters for login,Недостају параметри за пријављивање
Chat Background,Цхат Бацкгроунд
Internal record of document shares,Интерна евиденција дионица документа
