Connector Type,connector အမျိုးအစား
This query style is discontinued,ဤသည်ရှာဖွေမှုစတိုင်ရပ်စဲဖြစ်ပါတယ်
Document Type is not submittable,စာရွက်စာတမ်းအမျိုးအစားတင်ပြသူမဟုတ်ပါဘူး
Display Depends On,display တွင်မူတည်
No Tags,အဘယ်သူမျှမ Tags:
Script Code,script Code ကို
Updated successfully,အောင်မြင်စွာနောက်ဆုံးရေးသားချိန်
Hi {0},မင်္ဂလာပါ {0}
{0} not a valid State,{0} မခိုင်လုံသောပြည်နယ်
Accounts User,အသုံးပြုသူအကောင့်
Groups of DocTypes,DOCTYPE အုပ်စုများ
Website Route Redirect,ဝက်ဘ်ဆိုက်လမ်းကြောင်းပြန်ညွှန်း
Beginning with,အစနှင့်အတူ
Hello {0},မင်္ဂလာပါ {0}
Start Time,start ကိုအချိန်
{0} has been successfully added to the Email Group.,{0} အောင်မြင်စွာအီးမေးလ် Group မှထည့်သွင်းခဲ့တာဖြစ်ပါတယ်။
Cancelled Document restored as Draft,မူကြမ်းအဖြစ်ပွနျလညျထူထောငျဖျက်သိမ်းစာရွက်စာတမ်း
Desktop Icon,desktop အိုင်ကွန်
cancelled this document,ဤစာရွက်စာတမ်းဖျက်သိမ်း
Date Range,နေ့စွဲ Range
{0} appreciated {1},{0} {1} တန်ဖိုးထား
Values Changed,Changed တန်ဖိုးများ
Error in Notification,သတိပေးချက်အတွက်မှားယွင်းနေသည်
Enable Report,အစီရင်ခံစာ Enable
No alerts for today,ယနေ့အဘို့အဘယ်သူမျှမကသတိပေးချက်
Redirect URI Bound To Auth Code,Auth Code ကိုမလွဲမသွေ URI Redirect
Always use Account's Email Address as Sender,ပေးပို့သူအဖြစ်အကောင့်ရဲ့အီးမေးလိပ်စာအမြဲတမ်းသုံးရန်
Barcode,ဘားကုဒ်
{0} Dashboard,{0} Dashboard ကို
Last Quarter,နောက်ဆုံးရပ်ကွက်
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","{0} စာရွက်စာတမ်း attach ခွင့်မပြု, ပုံနှိပ်ပါက Settings ထဲမှာ {0} သည်ပုံနှိပ်ပါ Allow enable ပေးပါ"
Attach,ကပ်
Scopes,မျက်နှာစာများ
Deleted Documents,Deleted စာရွက်စာတမ်းများ
Workflow Action,လုပ်ငန်းအသွားအလာလှုပ်ရှားမှု
You can also copy-paste this ,သင်တို့သည်လည်း copy-paste နိုင်ပါတယ်ဒီ
Is Feedback request triggered manually ?,တုံ့ပြန်ချက်တောင်းဆိုမှုကိုကိုယ်တိုင်အစပျိုးသလဲ?
Select a chat to start messaging.,စာတိုပေးပို့ရေးကိုစတငျဖို့ချက်တင်ကိုရွေးချယ်ပါ။
No permission to read {0},{0} ကိုဖတ်ရှုရန်ခွင့်ပြုချက်မရှိပါ
Reply,ပြန်ကြားချက်
Braintree payment gateway settings,Braintree ငွေပေးချေမှုတံခါးပေါက် settings ကို
Scheduled to send to {0},{0} မှပေးပို့ဖို့စီစဉ်ထား
"If enabled, changes to the document are tracked and shown in timeline","enabled လျှင်, စာရွက်စာတမ်းမှစသောအပြောင်းအလဲအချိန်ဇယားထဲမှာခြေရာခံများနှင့်ပြသနေကြသည်"
Send Welcome Email,ကွိုဆိုအီးမေးလ်ပို့ပါ
asterisk,ကြယ်မှတ်
This link is invalid or expired. Please make sure you have pasted correctly.,ဒီ link မှာမမှန်ကန်သို့မဟုတ်သက်တမ်းကုန်ဆုံးသည်။ သငျသညျကိုမှန်ကန်စွာ paste လုပ်ထားတဲ့ရှိသည်ဟုသေချာပါစေ။
New Value,နယူး Value ကို
Due Date,နောက်ဆုံးရက်
"Include symbols, numbers and capital letters in the password","စကားဝှက်အတွက်သင်္ကေတများ, နံပါတ်နှင့်အရင်းအနှီးအက္ခရာများ Include"
Send Alert On,သတိပေးချက်တွင် Send
Home/Test Folder 1/Test Folder 3,နေအိမ် / စမ်းသပ်ခြင်း Folder ကို 1 / စမ်းသပ်ခြင်း Folder ကို 3
Valid,တရားဝင်သော
Cannot edit cancelled document,ဖျက်သိမ်းစာရွက်စာတမ်းမတည်းဖြတ်နိုင်
App Access Key,App ကို Access ကို Key ကို
Login Before,ခင်မှာ login
Private,ကိုယ်ပိုင်
Update many values at one time.,တစ်ကြိမ်မှာအများအပြားတန်ဖိုးများကိုအပ်ဒိတ်လုပ်။
None,အဘယ်သူမျှမ
Partial Success,တစ်စိတ်တစ်ပိုင်းအောင်မြင်မှု
{0} comments,{0} မှတ်ချက်များ
Emails will be sent with next possible workflow actions,အီးမေးလ်များကိုလာမယ့်ဖြစ်နိုင်သမျှလုပ်ငန်းအသွားအလာလုပ်ရပ်များနှင့်အတူစေလွှတ်တော်မူလိမ့်မည်
adjust,ညှိ
on_change,on_change
{0} Name,{0} အမည်
Same Field is entered more than once,တူညီသောဖျော်ဖြေမှုတစ်ကြိမ်ထက်ပိုပြီးထဲသို့ဝင်နေသည်
Please select a Amount Field.,တစ်ဦးငွေပမာဏကွင်းဆင်းရွေးချယ်ပါ။
Company History,ကုမ္ပဏီသမိုင်း
No Printer is Available.,အဘယ်သူမျှမပရင်တာရရှိနိုင်သည်။
Address Line 2,လိပ်စာလိုင်း 2
Time Interval,အချိန်ကြားကာလ
Message Preview,မက်ဆေ့ခ်ျကိုကို Preview
Purchase Master Manager,အရစ်ကျမာစတာ Manager ကို
Is Default,ပုံမှန် Is
Row Index,အတန်းအညွှန်း
Allowed,Allowed
"If you are uploading new records, leave the ""name"" (ID) column blank.","သငျသညျသစ်ကိုမှတ်တမ်းများကိုအပ်လုတ်နေကြလျှင်, &quot;အမည်&quot; (ID) တွင်ကော်လံအလွတ်ထားခဲ့ပါ။"
Events in Today's Calendar,ယနေ့ပြက္ခဒိန်တွင်ဖြစ်ရပ်များ
GCalendar is not configured.,GCalendar configured မပေးပါ။
Entity Type,entity အမျိုးအစား
Mandatory field: set role for,မသင်မနေရလယ်ကွင်း: မဘို့ရာခန့်အခန်းကဏ္ဍ
Bulk Delete,bulk Delete
Document Name,စာရွက်စာတမ်းအမည်
Add your own translations,သင့်ကိုယ်ပိုင်ဘာသာ Add
eu-central-1,EU-အလယ်ပိုင်း-1
Yearly,နှစ်အလိုက်
Rename,Rename
Remote Primary Key,ဝေးလံခေါင်သီမူလတန်း Key ကို
Script or Query reports,script သို့မဟုတ် Query အစီရင်ခံစာများ
Next Action Email Template,Next ကိုလှုပ်ရှားမှုအီးမေးလ် Template ကို
Chain Integrity,ကွင်းဆက်သမာဓိ
Illegal Access Token. Please try again,တရားမဝင် Access ကိုတိုကင်။ ထပ်ကြိုးစားပါ
"You need to have ""Share"" permission",သင် &quot;Share&quot; ခွင့်ပြုချက်ရှိသည်ဖို့လိုအပ်
Let's prepare the system for first use.,၏ပထမဦးဆုံးအသုံးပြုရန်စနစ်ကိုပွငျဆငျကွပါစို့။
circle-arrow-up,"စက်ဝိုင်း-မြှား-up,"
play,ကစား
You have been successfully logged out,သငျသညျကိုအောင်မြင်စွာထွက်ထားပြီ
Require Trusted Certificate,အသိမှတ်ပြုလက်မှတ်လိုအပ်
Preview,preview
Reference Owner,ကိုးကားစရာပိုင်ရှင်
Cannot cancel before submitting. See Transition {0},တင်သွင်းခြင်းမပြုမီမပယ်ဖျက်နိုင်ပါ။ ေူပာင်းလဲရေး {0} ကိုကြည့်ပါ
