Connector Type,커넥터 유형
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",새 레코드를 업로드하는 경우 &quot;명명 시리즈&quot;가 있으면 필수 항목이됩니다.
Edit Properties,속성 편집
Cannot open instance when its {0} is open,{0}이 (가) 열려있을 때 인스턴스를 열 수 없습니다.
Timeline Name,타임 라인 이름
Workflow,워크 플로
Please set Base URL in Social Login Key for Frappe,Frappe의 소셜 로그인 키에 기본 URL을 설정하십시오.
Custom Menu Items,사용자 정의 메뉴 항목
Length of {0} should be between 1 and 1000,{0}의 길이는 1에서 1000 사이 여야합니다.
Connection lost. Some features might not work.,연결이 끊어졌습니다. 일부 기능이 작동하지 않을 수 있습니다.
LDAP is not enabled.,LDAP가 사용 가능하지 않습니다.
Every Year,매년
Feedback Submitted,의견 제출 됨
Allow Comments,댓글 허용
Show Title,제목 표시
Not Saved,저장되지 않음
Can Write,쓸 수 있음
Main Section,주요 섹션
Enabled email inbox for user {0},사용자 {0}의 이메일받은 편지함을 사용했습니다.
Current Mapping Delete Start,현재 매핑 삭제 시작
Client side script extensions in Javascript,Javascript의 클라이언트 측 스크립트 확장
Reference Report,참조 보고서
Could not find {0},{0}을 (를) 찾을 수 없습니다.
Start,스타트
Missing Fields,누락 된 필드
File Backup,파일 백업
Is Attachments Folder,첨부 파일 폴더
Download Your Data,데이터 다운로드
Permissions get applied on Users based on what Roles they are assigned.,사용 권한은 할당 된 역할에 따라 사용자에게 적용됩니다.
"Default: ""Contact Us""",기본값 : &quot;문의하기&quot;
Image field must be of type Attach Image,이미지 필드는 유형 첨부 유형이어야합니다.
Please click on the following link to set your new password,새 암호를 설정하려면 다음 링크를 클릭하십시오.
Last User,최종 사용자
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""",&quot;abcabcabc&quot;와 같은 반복은 &quot;abc&quot;보다 추측하기가 약간 힘듭니다.
Country,국가
Password Update,비밀번호 업데이트
dd.mm.yyyy,dd.mm.yyyy
Int,Int
Posts filed under {0},{0}에 소장 된 게시물
Insufficient Permission for {0},{0}에 대한 권한이 충분하지 않습니다.
Documents assigned to you and by you.,귀하와 귀하에게 할당 된 문서.
Web Site,웹 사이트
Re: ,레:
Push,푸시
HTML Editor,HTML 편집기
Reset your password,비밀번호를 재설정
Recurring document creation failure,반복되는 문서 생성 실패
Send Email Print Attachments as PDF (Recommended),이메일로 첨부 파일을 PDF로 인쇄 (권장)
Fold,겹
Document Restored,문서 복원 됨
{0} saved successfully,{0} 성공적으로 저장되었습니다.
Database Size:,데이터베이스 크기 :
Check this if you are testing your payment using the Sandbox API,Sandbox API를 사용하여 결제를 테스트하는 경우이 항목을 선택하십시오.
Test Runner,테스트 러너
Please enter Access Token URL,액세스 토큰 URL을 입력하십시오.
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}}은 (는) 올바른 필드 이름 패턴이 아닙니다. {{field_name}}이어야합니다.
Operation,조작
An error occured during the payment process. Please contact us.,결제 과정에서 오류가 발생했습니다. 문의하시기 바랍니다.
"Meaning of Submit, Cancel, Amend","제출, 취소, 수정의 의미"
Incorrect Verification code,잘못된 인증 코드
volume-off,볼륨 오프
e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...,예 : (55 + 434) / 4 또는 = Math.sin (Math.PI / 2) ...
facetime-video,패 타임 - 비디오
"Please setup SMS before setting it as an authentication method, via SMS Settings",SMS 설정을 통해 인증 방법으로 설정하기 전에 SMS를 설정하십시오.
Test Email Address,전자 메일 주소 테스트
Rows Added,추가 된 행
Setup,설정
{0} created successfully,{0}이 (가) 성공적으로 생성되었습니다.
New Password,새 비밀번호
Leave this conversation,이 대화를 그만 둡니다.
Team Members,팀 멤버
Writers Introduction,작가 소개
API Key cannot be  regenerated,API 키를 다시 생성 할 수 없습니다.
Use ASCII encoding for password,암호로 ASCII 인코딩 사용
Pull Failed,당겨 실패
Timeseries,타임즈
Forgot Password?,비밀번호를 잊으 셨나요?
For top bar,상단 막대의 경우
From Document Type,문서 유형에서
{0} is now default print format for {1} doctype,{0}은 {1} doctype의 기본 인쇄 형식이되었습니다.
Save filters,필터 저장
Start Import,가져 오기 시작
Standard Sidebar Menu,표준 사이드 바 메뉴
Translated Text,번역 된 텍스트
Footer Item,꼬리말 항목
text in document type,문서 유형의 텍스트
Bold,대담한
Script Report,스크립트 보고서
This form does not have any input,이 양식에는 입력이 없습니다.
Top Bar,탑 바
NO,아니
Related DocType,관련 DocType
"Track if your email has been opened by the recipient.
<br>
Note: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""",수신자가 전자 메일을 열 었는지 추적합니다. <br> 참고 : 여러 명의 수신자에게 메일을 보내는 경우 수신자 1 명이 메일을 읽더라도 &#39;열린 메일&#39;로 간주됩니다.
Filter {0} missing,필터 {0}이 (가) 없습니다.
Search results for,에 대한 검색 결과
Title,표제
Please specify which value field must be checked,선택해야하는 값 필드를 지정하십시오.
Doc Event,문서 이벤트
Quarterly,계간지
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,<b>{1}</b> 필드에 제공된 DocType <b>{0}</b> 에 최소한 하나의 링크 필드가 있어야합니다
Calendar View,캘린더보기
Naming,이름 지정
Role and Level,역할 및 수준
Content web page.,콘텐츠 웹 페이지.
Recipients,수신자
Data Migration Run,데이터 마이그레이션 실행
New {0}: #{1},새 {0} : # {1}
Removed {0},{0}이 (가) 제거되었습니다.
The attachments could not be correctly linked to the new document,첨부 파일을 새 문서에 올바르게 연결할 수 없습니다.
Local DocType,로컬 DocType
Info,정보
 by Role ,역할 별
User {0} is disabled,사용자 {0}이 (가) 사용 중지되었습니다.
Cent,센트
Weekdays,평일
Send Attachements,첨부 파일 보내기
new type of document,새로운 유형의 문서
Preprocess Method,전처리 방법
Info:,정보 :
SMS sent to following numbers: {0},다음 번호로 SMS 전송 : {0}
Verify Password,비밀번호 확인
Prof,교수
Bounced,반송 됨
{0} reverted {1},{0}이 (가) {1} (으)로 되돌아갔습니다.
View report in your browser,브라우저에서 보고서보기
Points Given,주어진 포인트
{0} weeks ago,{0} 주 전
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.",활성화 된 경우 암호 강도는 최소 암호 점수 값에 따라 적용됩니다. 중간 값이 2이고 값이 너무 큰 값이 2입니다.
Archived Columns,보관 된 열
DESC,DESC
Home/Test Folder 1,홈 / 테스트 폴더 1
"Check columns to select, drag to set order.",선택하려면 열을 선택하고 주문을 설정하려면 드래그하십시오.
Name,이름
Email Template,이메일 템플릿
Review Levels,레벨 검토
Raw Printing,원시 인쇄
Cannot open {0} when its instance is open,인스턴스가 열려있을 때 {0}을 (를) 열 수 없습니다.
"Make ""name"" searchable in Global Search",글로벌 검색에서 &quot;이름&quot;검색 가능
Data Migration Mapping,데이터 마이그레이션 매핑
Partially Successful,부분 성공
Error,오류
Fieldtype cannot be changed from {0} to {1} in row {2},필드 유형을 {2} 행의 {0}에서 {1} (으)로 변경할 수 없습니다.
Take Photo,사진을 찍다
Avoid years that are associated with you.,당신과 관련된 해를 피하십시오.
Allow Incomplete Forms,불완전한 양식 허용
Last Synced On,마지막으로 동기화 됨
Is Private,비공개인가?
Field Maps,필드지도
Message Examples,메시지 예제
Right,권리
You are now following this document. You will receive daily updates via email. You can change this in User Settings.,이제이 문서를 읽고 있습니다. 이메일을 통해 매일 업데이트를 받게됩니다. 사용자 설정에서이를 변경할 수 있습니다.
Emails,이메일
{0} is not a valid Email Address,{0}은 (는) 유효한 이메일 주소가 아닙니다.
Private and public Notes.,비공개 및 공개 노트.
Print Documents,문서 인쇄
{0} or {1},{0} 또는 {1}
Level,수평
Assigned By Me,나에게 할당 된
Help Article,도움말 자료
There should remain at least one System Manager,최소한 하나의 시스템 관리자가 있어야합니다.
"A new task, {0}, has been assigned to you by {1}. {2}",새로운 작업 {0}이 (가) {1}에 의해 할당되었습니다. {2}
Ctrl + Down,Ctrl + 아래로
Enter Value,값 입력
View,전망
Default Sort Field,기본 정렬 필드
Backup,지원
Query Options,쿼리 옵션
Page Missing or Moved,페이지 누락 또는 이동
Backups,백업
Enable Chat,채팅 사용
Help on Search,검색에 대한 도움말
Remove Filter,필터 제거
User ID of a Blogger,Blogger의 사용자 ID
No file attached,첨부 된 파일 없음
Line,선
Blog Title,블로그 제목
Bot,봇
In Filter,필터 있음
Cancel {0} documents?,{0} 문서를 취소 하시겠습니까?
Restore to default settings?,기본 설정으로 복원 하시겠습니까?
Dear {0},친애하는 {0}
align-left,정렬 - 왼쪽
Fieldname is limited to 64 characters ({0}),필드 이름은 64 자 ({0})로 제한됩니다.
Attempting Connection to QZ Tray...,QZ 트레이에 연결 시도 중 ...
Allow Consecutive Login Attempts ,연속 로그인 시도 허용
Ms,미스
Translations,번역
Assigned By Full Name,이름으로 할당 됨
Take Video,비디오 찍기
Stats based on last month's performance (from {0} to {1}),지난 달의 실적을 기반으로 한 통계 ({0}에서 {1}까지)
Can't save the form as data import is in progress.,데이터 가져 오기가 진행되는 동안 양식을 저장할 수 없습니다.
Invalid Token,잘못된 토큰
DocType on which this Workflow is applicable.,이 워크 플로를 적용 할 수있는 DocType입니다.
Payment Success,지불 성공
indent-right,들여 쓰기 오른쪽
Could not find {0} in {1},{1}에서 {0}을 (를) 찾을 수 없습니다.
Authentication Credentials,인증 자격 증명
Implicit,절대적인
Dropbox Access Token,보관 용 액세스 토큰
"Dear User,","친애하는 사용자,"
Session Token,세션 토큰
Linked,연결된
mm-dd-yyyy,mm-dd-yyyy
View Properties (via Customize Form),속성보기 (양식 사용자 정의를 통해)
step-forward,앞으로 단계
Upload,업로드
Please Install the ldap3 library via pip to use ldap functionality.,ldap 기능을 사용하려면 pip를 통해 ldap3 라이브러리를 설치하십시오.
domain name,도메인 이름
Theme URL,주제 URL
Send an email reminder in the morning,아침에 이메일 알림 보내기
Mute Sounds,음소거
Dark Color,어두운 색
shopping-cart,쇼핑 카트
Summary,개요
Give Review Points,리뷰 포인트주기
Unable to load: {0},로드 할 수 없습니다 : {0}
New Message,새로운 메시지
Paste,풀
Import,수입
{0} edited this {1},{0}이 (가)이 {1}을 (를) 수정했습니다.
Static Parameters,정적 매개 변수
Custom Tags,맞춤 태그
Security,보안
Payment Gateway,지불 게이트웨이
{0} {1} cannot be a leaf node as it has children,{0} {1}은 (는) 자식이 있으므로 리프 노드 일 수 없습니다.
Did not remove,제거하지 않았다.
Comment By,댓글 작성자
Symbol,상징
You gained {0} points,당신은 {0} 점을 얻었습니다.
Amending,수정
In Global Search,글로벌 검색
SMS Settings,SMS 설정
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",인보이스와 같은 특정 문서는 최종적으로 변경해서는 안됩니다. 그러한 문서의 최종 상태를 제출 됨으로 부릅니다. 제출할 수있는 역할을 제한 할 수 있습니다.
Open a dialog with mandatory fields to create a new record quickly,필수 입력란이있는 대화 상자를 열어 새 레코드를 신속하게 만듭니다.
